TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
dataset,dataset,dataset,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
conduct:0:simulation:1:result,simulation result conduct,results from conducted simulations ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
simulation,simulation,Simulations,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
communication:0:performance,performance communication,communication performance ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
lte:0:standard,standard lte,LTE standard,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
simulate,simulate,simulated,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
tb,tb,TBs,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
communication:0:performance:1:metric,metric performance communication,communication performance metrics ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
metric,metric,metrics,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
physical:0:layer,physical layer,physical layer,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
tb:1:transport:0:block,transport tb block,transport blocks (TBs,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
transport:0:block,transport block,transport block ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,4
transport,transport,transport,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
block,block,blocks,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
reception,reception,reception,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
ratio,ratio,ratio,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
report,report,reported,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
multiple:0:time:1:run,multiple time run,run multiple times ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
transmit:0:receive:2:transport:0:block:1:success:0:ratio,transmit ratio transport success block receive,transport block success ratio (received transmitted,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,3
receive,receive,received,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
success:0:ratio,ratio success,success ratio ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
loss,loss,losses,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
consecutive:0:loss,loss consecutive,consecutive losses ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
public:0:safety:1:communication:2:research,research public safety communication,Public safety communications research,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
public:0:safety:1:communication,public safety communication,Public safety communications ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
public:0:safety,public safety,Public safety ,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
safety,safety,safety,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
research,research,research,LTE Device-to-Device Out-of-Coverage Communication with Frequency Hopping Resource Scheduling Performance Metrics Evaluation Data,2
standard:0:smartphone,standard smartphone,standard smartphone,LTE Coverage Tool,3
general:2:lte:0:coverage:1:quality:3:measure,general coverage lte measure quality,measure general LTE coverage quality ,LTE Coverage Tool,2
coverage,coverage,coverage,LTE Coverage Tool,2
quality,quality,quality,LTE Coverage Tool,2
public:0:safety:1:personnel:2:enable,enable personnel public safety,enable public safety personnel ,LTE Coverage Tool,2
public:0:safety:1:personnel,personnel public safety,public safety personnel ,LTE Coverage Tool,2
public:0:safety,public safety,public safety ,LTE Coverage Tool,4
safety,safety,safety,LTE Coverage Tool,4
personnel,personnel,personnel,LTE Coverage Tool,3
enable,enable,enable,LTE Coverage Tool,2
experimental:1:android:0:application,application experimental android,experimental Android application ,LTE Coverage Tool,2
application,application,application,LTE Coverage Tool,10
nist:0:pscr:1:develop,pscr develop nist,developed by NIST PSCR ,LTE Coverage Tool,2
use,use,use,LTE Coverage Tool,2
developer:1:application:0:enhance,application developer enhance,developers to enhance the application ,LTE Coverage Tool,2
application:0:enhance,application enhance,enhance the application ,LTE Coverage Tool,2
publish,publish,published,LTE Coverage Tool,3
survey,survey,survey,LTE Coverage Tool,3
responder,responder,responders,LTE Coverage Tool,3
agency,agency,agencies,LTE Coverage Tool,2
ue:0:measurement:1:datum,datum ue measurement,data from UE measurements ,LTE Coverage Tool,2
public:0:safety:1:communication:2:research,research public safety communication,Public safety communications research,LTE Coverage Tool,2
public:0:safety:1:communication,public safety communication,Public safety communications ,LTE Coverage Tool,2
communication,communication,communications,LTE Coverage Tool,2
research,research,research,LTE Coverage Tool,2
interference,interference,interference,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
calculate,calculate,calculated,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
device:0:deployment,deployment device,device deployments,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
protection,protection,protection,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
list,list,list,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,3
data,data,data,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
ghz,ghz,GHz,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,7
publication,publication,publication,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
aggregate:0:interference,interference aggregate,aggregate interference,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
federal:0:incumbent,federal incumbent,federal incumbent,3.5 GHz CBRS Federal Incumbent Protection Move Lists and Aggregate Interference Statistics,2
present,present,present,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",2
publication,publication,publications,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",3
edward:1:uhler:0:condon:2:award:0:recipient,condon recipient edward uhler award,Edward Uhler Condon award recipients ,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",2
energy,energy,Energy,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
material,material,Materials,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
manufacturing,manufacturing,Manufacturing,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
forensic,forensic,Forensics,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
fire,fire,Fire,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
electronic,electronic,Electronics,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",4
chemistry,chemistry,Chemistry,"Recipients of the Edward Uhler Condon Award, NIST, 1974-present",2
ghz:0:band,ghz band,35 GHz band,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,4
ghz,ghz,GHz,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,7
band,band,band,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,4
sensor,sensor,sensor,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,6
dataset,dataset,dataset,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
result,result,results,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,3
interference,interference,interference,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
radar,radar,radar,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,3
spectrum:0:sharing,sharing spectrum,spectrum sharing ,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,3
spectrum,spectrum,Spectrum,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
sharing,sharing,sharing,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
esc:0:sensor,esc sensor,ESC sensors ,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
harmful:0:interference:1:experience,interference harmful experience,experience harmful interference,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
probability,probability,probability,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
outage:0:probability,probability outage,probability of outage,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,3
detection:0:coverage,detection coverage,detection coverage,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
sensor:0:location,location sensor,sensor locations,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
esc:2:environmental:0:sensing:1:capability:3:sensor,esc sensor environmental sensing capability,Environmental Sensing Capability (ESC) sensors,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,2
sensor:0:electronic,electronic sensor,Electronics  Sensors,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,4
electronic,electronic,Electronics,Sensor Placement and Detection Coverage for Spectrum Sharing in the 3.5 GHz Band Data,4
network,network,Networks,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
document:0:datum,datum document,data in this document ,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
document,document,document,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
d2d:0:enable,d2d enable,D2D-enabled ,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
enable,enable,enabled,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
public:0:safety:1:communication,public safety communication,Public safety communications ,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
public:0:safety,public safety,Public safety ,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,3
safety,safety,safety,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,3
communication,communication,communications,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
device:0:device,device,device-to-device,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
device,device,device,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,3
network:0:ue:1:relay,network ue relay,UE-to-Network relay,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,3
ue,ue,UE,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
public:0:safety:1:communication:2:research,research public safety communication,Public safety communications research,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
research,research,research,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,2
information:0:technology,technology information,Information Technology,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,8
information,information,Information,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
technology,technology,Technology,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
networking,networking,Networking,System Level Evaluation of UE-to-Network Relays in D2D-enabled LTE Networks,4
dataset,dataset,dataset,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
dynamic:2:dsa:1:spectrum:0:access:3:system,dsa spectrum dynamic system access,Dynamic Spectrum Access (DSA) system,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
space:0:utilization,utilization space,space utilization ,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
space,space,space,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
utilization,utilization,utilization,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
carry,carry,carried,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
result,result,results,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
contain,contain,contains,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
datum,datum,data,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,8
simulate:3:wsu:2:white:1:space:0:utilization,utilization wsu simulate space white,simulated white space utilization (WSU,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
simulate,simulate,simulated,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
analytical:0:compare,compare analytical,comparing analytical ,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,5
compare,compare,comparing,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
metro:1:philadelphia:0:area,metro area philadelphia,metro Philadelphia area ,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
approximately:1:exponentially:0:distribute,exponentially approximately distribute,approximately exponentially distributed,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
plot,plot,plots,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
channel,channel,channel,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
graph,graph,graphs,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
datum:0:file:1:process,process file datum,processes the data files ,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,3
datum:0:file,file datum,data files ,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
include,include,included,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
spectrum:0:access,access spectrum,spectrum access,Analytical Modeling of White Space Utilization for a Dynamic Spectrum Access System,2
paper,paper,paper,Access Time Analysis of MCPTT Off-Network Mode over LTE,3
analytical:0:estimate,estimate analytical,analytical estimates ,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
public:0:safety:1:communication:2:research,research public safety communication,Public safety communications research,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
public:0:safety:1:communication,public safety communication,Public safety communications ,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
public:0:safety,public safety,Public safety ,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
safety,safety,safety,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
communication,communication,communications,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
research,research,research,Access Time Analysis of MCPTT Off-Network Mode over LTE,2
ghz:0:band,ghz band,35 GHz band,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,4
ghz,ghz,GHz,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,10
band,band,band,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
sensor,sensor,sensors,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,11
dataset,dataset,dataset,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
result,result,results,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,3
harmful:0:interference,interference harmful,harmful interference ,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
interference,interference,interference,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
protect,protect,protect,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,3
federal:2:incumbent:1:shipborne:0:radar:3:detect,federal radar shipborne detect incumbent,detect federal incumbent shipborne radar ,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
radar,radar,radar,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,4
esc:0:sensor,esc sensor,ESC sensors ,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,4
path:0:loss:1:compute,path compute loss,compute the path loss,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
path:0:loss,path loss,path loss,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
point,point,point,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,3
location,location,locations,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
harmful:0:interference:1:experience,interference harmful experience,experience harmful interference,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
probability,probability,probability,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
detection:0:coverage:1:probability,detection coverage probability,probability of detection coverage,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
antenna:0:height,antenna height,antenna height,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
sensor:0:location,location sensor,sensor location,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,2
sensor:0:electronic,electronic sensor,Electronics  Sensors,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,4
electronic,electronic,Electronics,A Practical Approach to Placing Coastal Sensors for Spectrum Sharing in the 3.5 GHz Band,4
public:0:release,release public,public release,Source code for labbench 0.20 release,5
release,release,release,Source code for labbench 0.20 release,6
version,version,version,Source code for labbench 0.20 release,4
labbench:0:python:1:module,python labbench module,labbench python module,Source code for labbench 0.20 release,3
labbench,labbench,labbench,Source code for labbench 0.20 release,11
python,python,python,Source code for labbench 0.20 release,5
module,module,module,Source code for labbench 0.20 release,4
source:0:code,code source,source code ,Source code for labbench 0.20 release,4
source,source,source,Source code for labbench 0.20 release,4
code,code,code,Source code for labbench 0.20 release,7
package,package,package,Source code for labbench 0.20 release,2
labbench:0:purpose,purpose labbench,purpose of labbench ,Source code for labbench 0.20 release,2
laboratory,laboratory,laboratory,Source code for labbench 0.20 release,2
data,data,data,Source code for labbench 0.20 release,2
concurrency,concurrency,concurrency,Source code for labbench 0.20 release,4
scale,scale,scale,Source code for labbench 0.20 release,2
benchtop:0:automation,benchtop automation,benchtop automation,Source code for labbench 0.20 release,2
automation,automation,automation,Source code for labbench 0.20 release,5
streamline,streamline,streamline,Source code for labbench 0.20 release,3
api:0:convention,api convention,API conventions,Source code for labbench 0.20 release,3
type:0:checking,type checking,type checking,Source code for labbench 0.20 release,2
type,type,type,Source code for labbench 0.20 release,2
concise:0:exception:1:handling,handling concise exception,concise exception handling,Source code for labbench 0.20 release,2
robust:0:facilitate,facilitate robust,facilitate robust,Source code for labbench 0.20 release,2
wrapper:0:system,system wrapper,system of wrappers ,Source code for labbench 0.20 release,2
wrapper,wrapper,wrappers,Source code for labbench 0.20 release,3
automate,automate,automated,Source code for labbench 0.20 release,3
thread:0:concurrency:1:simplify,concurrency simplify thread,simplified threaded concurrency,Source code for labbench 0.20 release,3
support,support,supports,Source code for labbench 0.20 release,2
new:0:functionality,functionality new,new functionality,Source code for labbench 0.20 release,2
provide,provide,provide,Source code for labbench 0.20 release,2
lab:0:automation,lab automation,lab automation ,Source code for labbench 0.20 release,2
maintain,maintain,maintain,Source code for labbench 0.20 release,3
paste:0:copy:1:code,code paste copy,copy-and-paste code ,Source code for labbench 0.20 release,3
paste,paste,paste,Source code for labbench 0.20 release,2
copy,copy,copy,Source code for labbench 0.20 release,3
help,help,help,Source code for labbench 0.20 release,2
datum,datum,data,Source code for labbench 0.20 release,6
python:0:code,code python,python code ,Source code for labbench 0.20 release,2
result,result,results,Source code for labbench 0.20 release,4
maintainable:0:reusable:1:concise:2:clear,maintainable reusable concise clear,clear concise reusable and maintainable,Source code for labbench 0.20 release,2
nist:2:open:1:data:0:obligation:3:meet,data obligation nist open meet,meet NIST's open data obligations,Source code for labbench 0.20 release,3
past,past,past,Source code for labbench 0.20 release,3
automation:0:acquire,acquire automation,acquired by automation ,Source code for labbench 0.20 release,3
feedback:1:public:0:use:2:invite,invite feedback public use,invite public use and feedback,Source code for labbench 0.20 release,2
public:0:use,public use,public use ,Source code for labbench 0.20 release,2
nist:1:github:0:page,github page nist,NIST github page ,Source code for labbench 0.20 release,2
github:1:usnistgov:0:organization,usnistgov organization github,USNISTGOV organization on GitHub,Source code for labbench 0.20 release,2
markdown:2:python:1:sphinx:0:package,python package sphinx markdown,python sphinx package and markdown,Source code for labbench 0.20 release,2
sphinx:0:package,package sphinx,sphinx package ,Source code for labbench 0.20 release,2
python:0:develop,python develop,developed in python,Source code for labbench 0.20 release,2
python:0:support:1:computer,python support computer,computer that supports python 36,Source code for labbench 0.20 release,2
python:0:support,python support,supports python ,Source code for labbench 0.20 release,3
hardware:0:requirement,hardware requirement,hardware requirements ,Source code for labbench 0.20 release,2
discuss,discuss,discussed,Source code for labbench 0.20 release,3
great:1:python:0:version,python version great,python version 36 or greater,Source code for labbench 0.20 release,2
distribution,distribution,distribution,Source code for labbench 0.20 release,2
install,install,install,Source code for labbench 0.20 release,4
command:0:prompt,prompt command,command prompt,Source code for labbench 0.20 release,2
pip:0:install,pip install,pip install git+https  gitlabnistgov gitlab ssm labbench,Source code for labbench 0.20 release,3
optional:2:ni:0:visa:1:install,visa optional install ni,Optional) install an NI VISA ,Source code for labbench 0.20 release,2
ni:0:visa:1:install,visa install ni,install an NI VISA ,Source code for labbench 0.20 release,2
runtime,runtime,runtime,Source code for labbench 0.20 release,3
documentation,documentation,documentation,Source code for labbench 0.20 release,4
doc:0:labbench,labbench doc,doc labbench-,Source code for labbench 0.20 release,2
license,license,license,Source code for labbench 0.20 release,4
information,information,Information,Source code for labbench 0.20 release,8
source:0:distribution,source distribution,source distribution ,Source code for labbench 0.20 release,2
include,include,including,Source code for labbench 0.20 release,2
computational:0:science,computational science,Computational science,Source code for labbench 0.20 release,4
science,science,science,Source code for labbench 0.20 release,2
informatic:0:datum:1:information:0:technology,technology informatic information datum,Information Technology  Data and informatics,Source code for labbench 0.20 release,4
informatic:0:datum,informatic datum,Data and informatics,Source code for labbench 0.20 release,2
informatic,informatic,informatics,Source code for labbench 0.20 release,2
information:0:technology,technology information,Information Technology,Source code for labbench 0.20 release,12
technology,technology,Technology,Source code for labbench 0.20 release,6
interoperability:0:testing:1:information:0:technology,testing technology interoperability information,Information Technology  Interoperability testing ,Source code for labbench 0.20 release,2
interoperability:0:testing,testing interoperability,Interoperability testing,Source code for labbench 0.20 release,4
interoperability,interoperability,Interoperability,Source code for labbench 0.20 release,2
testing,testing,testing,Source code for labbench 0.20 release,2
mobile:1:information:0:technology,technology mobile information,Information Technology  Mobile,Source code for labbench 0.20 release,4
software:0:research,research software,Software research,Source code for labbench 0.20 release,2
software,software,Software,Source code for labbench 0.20 release,2
research,research,research,Source code for labbench 0.20 release,2
lte:2:user:1:equipment:0:emissions:3:characterize,user characterize lte emissions equipment,Characterizing LTE User Equipment Emissions,Characterizing LTE User Equipment Emissions: Factor Screening Data,3
characterize,characterize,Characterizing,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
data,data,data,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
provide,provide,provided,Characterizing LTE User Equipment Emissions: Factor Screening Data,4
provide:0:datum,provide datum,data provided here ,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
datum,datum,data,Characterizing LTE User Equipment Emissions: Factor Screening Data,4
datum:0:analysis:1:result:2:present,present result analysis datum,present the data analysis results,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
datum:0:analysis:1:result,result analysis datum,data analysis results,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
analysis,analysis,analyses,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
plot,plot,plots,Characterizing LTE User Equipment Emissions: Factor Screening Data,3
datum:0:collection,collection datum,data collection,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
technical:0:note,technical note,technical note ,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
reference,reference,referenced,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
content:0:outline,content outline,outline of the contents ,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
content,content,contents,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
zip:0:file,file zip,zip file ,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
wireless:0:communication,communication wireless,wireless communications,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
experiment:0:design,design experiment,Experiment design,Characterizing LTE User Equipment Emissions: Factor Screening Data,4
experiment,experiment,Experiment,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
design,design,design,Characterizing LTE User Equipment Emissions: Factor Screening Data,2
sas:0:cbsd:1:protocol,sas protocol cbsd,SAS-CBSD protocol,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,5
protocol,protocol,protocol,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
research:0:work,work research,research work ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
timing:0:constraint,timing constraint,timing constraint ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
study,study,studies,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
give:1:service:0:rate,rate give service,given service rate,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
service:0:rate,rate service,service rate ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,5
service,service,service,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,5
rate,rate,rate,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,5
number,number,number,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,18
fail,fail,failed,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
incumbent:0:appear,appear incumbent,an incumbent has appeared,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
incumbent,incumbent,incumbent,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
appear,appear,appeared,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
channel,channel,channel,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,9
vacate,vacate,vacating,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
cbsd:0:take:1:time,take time cbsd,time taken by CBSDs ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
cbsd,cbsd,CBSDs,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
study:0:result,result study,study results ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
follow:0:file:1:capture,follow file capture,captured in the following files,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
follow:0:file,follow file,following files,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
heartbeat:0:interval:1:mean,mean interval heartbeat,mean heartbeat interval ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
